product_id,product_type,date,help_num,cleaned_Kiwi_review,sentiment
5013198,한우 도가니탕,2023-11-30,2,하트찜꽁 쫀득한 도가니탕 맛있네요 국 간은 싱거운데 소금 간 하면 딱이에요,positive
5013198,한우 도가니탕,2023-09-25,2,일부러 내용 청 가물을 보고 샀습니다 가장 청 가물과 나트륨이 적었구요 가격은 음 착하지는 않습니다 추가 구매해서 사 먹을 맛은 아닌 걸로 제가 도가니 매니아가 아니라 그런 걸까요 아니면 후기를 좋은 말만 쓰면 뭐가 있는 건가요 컬리 초보자라 궁금하군요  ,positive
5013198,한우 도가니탕,2023-01-24,2,기름 너무 많아서 느끼함,negative
5013198,한우 도가니탕,2024-06-03,1,믿고 먹는 설성 목장이예요 무 항생제인데 도가니도 꽤 들어 있고 가격 대비 좋네요 ,positive
5013198,한우 도가니탕,2024-03-05,1,설성 목장은 소금과 첨가물 안 들어 있어서 좋아요,positive
5013198,한우 도가니탕,2024-02-20,1,도가니탕 관절 위해 먹어 보려구요,negative
5013198,한우 도가니탕,2024-02-02,1,"입에 짝 달라붙는 맛
도가니탕 중 최고입니다",positive
5013198,한우 도가니탕,2024-01-24,1,국물 진하고 맛 잇어요,positive
5013198,한우 도가니탕,2024-01-23,1,고기가 까매서 왜 그럴지 궁금,negative
5013198,한우 도가니탕,2024-01-23,1,맛있어요  다만 고기 살이 까매요 ,positive
5013198,한우 도가니탕,2024-01-10,1,엄마 주문해 드렸는데 도가니보다 부속물이 많고 기름 심해서 버렸다고,negative
5013198,한우 도가니탕,2024-01-05,1,설성 목장 도가니탕 비싸도 제대로 집에서 요리된 듯 맛이라 꾸준하게 주문해요 ,positive
5013198,한우 도가니탕,2023-12-25,1,도가니탕에 만두국 끓임 최고예요,positive
5013198,한우 도가니탕,2023-12-16,1,"마켓컬리에서 구입해서 먹은 도가니탕 중에 국물 맛은 제일 맛있어요 근데 제가 구입해서 먹은 제품에 비해 고기에 기름이 많아요
그것만 개선되면 자주 이용할 거 같아요",positive
5013198,한우 도가니탕,2023-11-08,1,매번 구매해서 맛있게 먹고 있습니다,positive
5013198,한우 도가니탕,2023-10-15,1,"열자마자 놀랬네요
  두 개 주문했는데 하나는 멀쩡한데 하나는 누가 일부러 뜯어 놓은 거마냥  뭔가요
저걸 어떻게 먹어요   칼로 난도질해 놓은 것도 아니고",negative
5013198,한우 도가니탕,2023-09-25,1,도가니를 좋아하는 딸을 위해 샀어요  ㅋ,positive
5013198,한우 도가니탕,2023-09-14,1,시아버님 사 드렸는데 별로라고 하시네요,negative
5013198,한우 도가니탕,2023-09-07,1,도가니가 양이 적긴한데 파 송송에 후추 넣어서 먹으니 맛나요,positive
5013198,한우 도가니탕,2023-08-15,1,그냥저냥 먹을 만은한데 특별히 맛있는 줄은 모르겠어요 ,neutral
5013198,한우 도가니탕,2023-08-07,1,컬리 제품 자주 구입해요,positive
5013198,한우 도가니탕,2023-07-23,1,"첨에는 안에 내용물이 많이 들어 있어서 도가니가 많이 들어 있는 줄 알았는데 먹다 보니
고기 몇 점과 지방 덩이네요 ㅠ
저는 입이 짧아 지방같이 물컹거리는
부분은 먹지 않는데 
재구매는 하지 않을 듯요",negative
5013198,한우 도가니탕,2023-07-23,1,누린내가 너무 심합니다 이런 냄새를 참나 ,negative
5013198,한우 도가니탕,2023-05-28,1,무난했어요 건더기가 엄청 많다고 느껴지진 않았고 기름은 좀 있지만 설성 목장 제품 좋아합니다 첨가물 없이 깔끔해서요,neutral
5013198,한우 도가니탕,2023-03-15,1,"후기 좋아 구입했어요
맛은 어떤 양념도 첨가하지 않은 순수한 탕 맛이라 맘에 들지만 고기는 많이 우려서인지 맛이 안 느껴지고 도가니도 조금밖에 안 들어가서 아쉬웠어요",positive
5013198,한우 도가니탕,2023-02-04,1,"갑자기 묽어졌어요 
혹시 물량이 많아졌나요 
진한 맛이 나라 17000원에 한 끼 아깝지 않게 먹었는데
이렇게 물 탄 맛이면 앞으로는 시킬 이유가 없겠어요
왜 맛이 묽어졌는지 궁금합니다 ",negative
5013198,한우 도가니탕,2023-01-27,1,엄마가 제일 좋아하는 도가니탕입니다 여러 브랜드 제품 드려 봐도 이게 제일 부드럽고 진하면서 맛있다고 하시네요 가격대가 있어도 이 제품만 구매하게 되요,positive
5013198,한우 도가니탕,2024-08-05,0,설성 목장 도가니탕이 최고입니다,positive
5013198,한우 도가니탕,2024-07-25,0,"도가니탕 좋아하시는 팔순 훌쩍 넘기신 시아버님이 제가 주문해 드린 도가니탕이 제일 맛있다고 하셔서 주기적으로 보내 드리고 있어요
홈쇼핑 판매하는 거랑은 비교 불가 입니다",positive
5013198,한우 도가니탕,2024-07-25,0,"고기와 도가니가 적당히 들어 있어요
양이 적은 사람은 둘이서 먹어도
부족하지 않아요",positive
5013198,한우 도가니탕,2024-07-25,0,"설성 목장 한우 도가니탕
입맛 없을 때 좋아요",positive
5013198,한우 도가니탕,2024-07-25,0,"설성 목장 한우 도가니탕
고기도 도가니도 많아 넘 좋아요",positive
