product_id,product_type,review,summarizing
5005071,돼지고기 김치찌개,추후 구매 후 참치 3 캔 기름기 빼서 넣었더니 아이들이 잘 먹네요 두부나 찌개 채소들 좀 더 넣어서 끓이면 좋을 것 같아요 두부 넣어 먹으니까 든든한 한 끼 식사됐어요 물을 반 컵 더 넣고 먹었어요 재료 추가해서 먹었어요 마늘 듬뿍 두부한 모 뚝뚝 썰어 끓여 갓 지은 하얀 밥에 후루룩 쩝쩝 냠냠입니다 두부도 한 모 같이 주문해서 두 팩에 마늘 한 숟갈 듬뿍 떠 넣고 두부 썰어 푹 끓여 먹으면 솜씨 없는 내 김치 찌게 보다 훨 맛있어요 자주 먹을 듯합니다 자취생이 먹기에 편하고 맛있습니다 두부 추가해서 먹으니 두부 첨가해서 먹어두 맛있네요,참치 캔을 기름기 빼고 넣어 아이들과 함께 즐기기 좋습니다. 두부와 찌개 채소를 추가해 끓이면 든든한 한 끼가 됩니다. 물을 조금 더 넣고 마늘을 듬뿍 넣어 끓이면 더욱 맛있습니다. 갓 지은 밥과 함께 먹으면 최고의 조합입니다. 자취생들에게도 간편하고 맛있는 선택이 될 것입니다.
5011633,어린이 한우 사골 곰국,어른처럼 소면 좋아하는 아이는 삶아서 넣어 먹으면 곰국 국수 질 좋은 다른 곰국도 살펴봐야겠어요 아이 만두국용으로 딱이예요 아침에 밥 말아 주기 좋음 쟁여 두고 반찬 없을 때 급하게 먹여요 아기 국할 때 기본적으로 넣고 끓이려고 샀어요 가끔 국 까먹을 때 하나 데우기 딱 좋어요 날이 더워져서 국물 필요할 때 데워 먹으려구요 소분되어 있어서 먹이기 좋아요 간단하게 아침 먹을 때 한 팩 주말 아침 떡국 먹을 땐 두 팩 여러 요리에 베이스로 좋아요 아이가 좋아해서 자주 구매해요 아침 만두국으로 자주 사용합니다 반찬 없을 때 꺼내서 만두나 떡 넣고 끓여 줍니다 요긴하게 쓰입니다 제가 떡국 국물로 잘 먹었어요 아이들 먹일 거 없을 때 비상용으로 딱입니다 그냥 주거나 베이스 국물로 써요 아이가 잘 먹어요 사골 육수가 기본으로 되는 음식을 많이 만들어 줄 수 있어요 간편하고 좋아요 떡국 끓일 때 사용해도 편리합니다 급할 때 바로 끓여 먹기 좋아요,"소면을 삶아 곰국에 넣어 먹으면 맛있습니다. 아침에 밥을 말아 주기 좋고, 반찬이 없을 때 급하게 활용할 수 있습니다. 아기 국을 만들 때 기본 재료로 사용하거나, 국물 요리가 필요할 때 간편하게 데워 먹기 좋습니다. 주말 아침 떡국을 끓일 때 두 팩을 사용하면 더욱 풍성하게 즐길 수 있습니다. 만두나 떡을 넣고 끓여도 좋고, 비상용으로 쟁여 두면 유용합니다. 사골 육수를 베이스로 다양한 요리를 만들 수 있어 간편하고 좋습니다."
5012851,콩나물김칫국,리뷰가 좋아서 구매했어요 아침에 한 끼 국으로 좋았어요 청꼬 넣어서 푹 끓여서 한 끼 뚝딱 햇습니다 밥 먹기긔 찮 을 때 먹기 좋아유 아침에 애들 주기 좋아요 아침 저녁 국으로 좋아요 간편하고 맛있어서 자주 구매해요 두부 대파 추가로 넣고 두부 낳어 먹고 있어요 간편하고 맛도 좋아서 재구매했습니다 계란도 같이 풀어 넣어서 먹으면 더 맛있어요 요거 하나면 밥 말아서 한 끼 뚝딱 해결이에요 이제 사 먹는 게 더 편하다는 아줌마에요 맛난 김칫국이 필요할 때 종종 구매하는데 국 끓이기 싫을 때 주문해서 먹어요 간편하게 먹기 좋아요 술 먹은 다음날 최고,"아침에 간편하게 국으로 즐기기 좋습니다. 청꼬와 함께 푹 끓여서 한 끼 해결할 수 있으며, 밥 대신 국으로 간단히 먹기 좋습니다. 두부와 대파를 추가하면 더욱 맛있고, 계란을 풀어 넣으면 풍미가 더해집니다. 술 먹은 다음날 해장용으로도 적합하며, 국 끓이기 귀찮을 때 간편하게 주문해 먹기 좋습니다."
5012950,가족을 위한 사골곰탕,닭 계장할 때 베이스로 사골 국물 이용해서 쉽게 깊은 맛 냈어요 걍 찌개 베이스로 해 먹는 거 아니면 사지 마시길 떡국이랑 김 찌 육수로 잘 사용했어요 간단하게 육수 없이 넣어서 끓이니 편하고 맛있어요 떡 만두국 재료로 구입해서 만두국 육수로 아주 좋아요 떡국이나 각종 국물 요리에 자주 사용해요 휘뚜루마뚜루 사용하기 찰떡임 당 만둣국도 먹고 그냥 찌개 할 때도 사용 중 떡국 만들 때 항상 이거 쓰고 있어요 찜 닭 만드는 데 사용했어용 사골 곰탕 있으면 요리하기 넘 좋더라구요 간편해서 자주 구입하는데 김치 찌게나 부대 찌게 조리할 때 잘 써요 국 떡볶이 다 뚝딱 해 먹을 수 잇어서 좋아요 라면보다 쉬운 떡국 떡만 둣 국해서 먹을 때 사용했어요 떡만 둣 국 끓일 때 사용 햤는데 만둣국에 넣으니 뚝딱 만들 수 있어서 편해요 떡국 하려고 샀어요 만둣국용으로 사 봤는데 간편하고 좋아요 이걸로 떡 만두국 끓이면 완전 맛있어서 샀어요 찌개에 넣으면 맛 잇는 국물 쟁여 두면 여기저기 쓰기 편해요 만둣 국 끓여 먹을 때 사용하려고 구매했어요 사골 곰탕 국물에 죽도 해 먹고 닭 칼국수도 해 먹고 더워도 가끔 떡 만두국용 육수로 간편해요 맵찔이 가족 육수 추가용으로 필히 구매하는 상품입니다 국이면 찌개에 자주 넣어용 요리할 때 육수로 써요 이번에는 국물 자작한 옛날식 불고기할 때 사용하려고합니다,"사골 국물은 다양한 요리에 활용하기 좋습니다. 떡국이나 만두국을 만들 때 기본 육수로 사용하면 깊은 맛을 낼 수 있습니다. 간편하게 찌개를 끓일 때도 적합하며, 김치찌개나 부대찌개에 넣으면 풍미가 더해집니다. 또한, 국물 요리나 떡볶이, 닭 칼국수 등에도 활용할 수 있어 여러 가지 요리에 두루 쓰기 좋습니다. 이 제품을 사용하면 요리가 훨씬 간편해지고 맛있게 즐길 수 있습니다."
5013198,한우 도가니탕,도가니탕에 만두국 끓임 최고예요 입맛 없을 때 좋아요 간편해서 좋아요 더 다양한 상품을 컬리에서 구매할 수 있었으면 좋겠어요,도가니탕에 만두를 추가해 끓이면 맛있는 만두국이 됩니다. 입맛이 없을 때 간편하게 즐기기 좋습니다. 다양한 재료와 함께 활용하면 더욱 풍성한 한 끼가 될 수 있습니다.
5025668,아욱된장국,물 약간 넣어서 드렸어요 너무 좋아요 잘 먹고 있어요 간편하고 아욱 된장국 간편하게 헌 끼 먹기 좋아요 동전 육수 추가해서 먹었어요 두부 넣어서 먹으면 더 맛있어요 휘리릭 끓여 주면 잘 먹습니다 밥만 지어 맛있게 먹었어요 가끔 국 끓이기 싫을 때 주문해서 먹어요 냉동시켜서 데워 먹기도 편해요 두부 넣고 끓이면 맛있어요 집 된장과 물을 조금 더 넣고 양을 늘려 여러 번 먹습니다,"물과 집 된장을 약간 추가하여 아욱 된장국으로 끓여 먹으면 간편하고 맛있습니다. 두부를 넣어주면 더욱 풍부한 맛을 즐길 수 있습니다. 간단하게 끓여서 밥과 함께 먹거나, 냉동 보관 후 데워서 먹기에도 좋습니다. 가끔 국을 끓이기 귀찮을 때 유용하게 활용할 수 있습니다."
5026468,갈비탕,갈비탕 이제 가게 안 가고 집에서 사미헌으로 먹으면 되겠어요 냄비에 넣고 저는 물을 조금 더 부었어요 컬리에서 판매하는 사누끼 우동 면 사리를 넣거나 불린 당면을 넣고 끓여도 너무 맛있어요 강력 추천합니다 국물을 좋아해서 집에서 간편하게 갈비탕해 먹을 수 있어서 너무 좋아요 사미헌 갈비탕 추천합니다 당면 불려서 살짝 넣어 먹으면 한 끼 먹긴 너무 좋네요 쪽파 넣어서 먹으니 파는 거 같아요 사진은 끓일 때 모습이고 저기에 만두 당면 따로 삶아서 추가로 넣고 파와 후추도 곁들여 먹었습니다 급히 밥 상 차릴 때 편하고 좋아요 파만 좀 넣어서 먹으면 굿 굿 한 번에 다 먹는 게 좋아요,"갈비탕을 냄비에 넣고 물을 조금 더 부어 끓이면 간편하게 즐길 수 있습니다. 사누끼 우동 면 사리나 불린 당면을 추가하면 더욱 맛있습니다. 쪽파를 넣어 먹으면 풍미가 더해지고, 만두와 함께 곁들이면 한 끼 식사로 좋습니다. 급하게 밥상을 차릴 때 유용하며, 파를 추가하면 더욱 맛있습니다."
5026469,꼬리곰탕,한 끼 대용으로 딱 요 상품은 매번 먹던 거 ㅎ 대파 소금 추가해서 두 그릇 만들어 방학이라 집 지키는 아들 점심으로 준비해 뒀어요 초복에 먹었어요 칼칼하게 먹으려고 다대기 넣어 먹었어요 소고기 사태나 치마 양지 푹 고아서 넣어서 먹을 꺼에요 해먹기 어려운 꼬리 곰탕을 편하게 먹을 수 있네요 국물 없을 때 딱 좋은 것 같아요,대파와 소금을 추가해 두 그릇을 만들어 점심으로 준비하기 좋습니다. 칼칼하게 먹고 싶다면 다대기를 넣어보세요. 소고기 사태나 치마 양지 등을 푹 고아서 함께 넣으면 더욱 맛있습니다. 국물이 없을 때 간편하게 해먹기 좋은 제품입니다.
5027026,우삼겹 강된장,계란 프라이해서 참기름 넣어 비벼 줬더니 애가 너무 맛있대요 강된장 계란 참기름만 있으면 다른 반찬 필요 없고 뚝배기에 넣고 데워서 나물이랑 같이 비벼 먹었어요 호박잎에 쌈 싸서 맛있게 먹었어요 입맛 없어서 귀찮아서 잘 안 챙겨 먹었는대 별 반찬 없이도 밥 한 공기 뚝딱입니다 강된장이지만 저는 물 많이 붓고 호박 두부 추가해서 끓이면 뚝배기에 담아 두부 으깨서 한 번 끓인 뒤 밥에 참기름 넣고 비벼 먹었어요 병원에서 먹을 수 있어 좋아요 물 반 컵 붓고 두부도 넣고 한 번 끓여서 먹으면 다른 반찬 없어도 한 그릇 뚝딱 할 수 있어요 달걀 후라이하고 쌈 채소랑 같이 먹음 간단하고 건강한 식사 재재구매두부 넣어서 먹으면 밥도둑이네요 두부를 넣어서 으깼더니 짠맛이 잡히더라구요 뭘 더 넣어서 끓여 먹어야할 듯 두부 한 모 넣어서 양배추 쌈해 먹으니 간이 딱 아이들이 물 조금 넣고 두부 많이 넣고 자박하게 뚝배기에 끓여 주면 좋아해요 물론 저는 다른 것도 좀 더 넣고 조제해서 먹긴합니다 두부 한 모 추가하면 단백질 폭탄 식단으로도 가능이요 호박잎을 샀는데 따로 쌈장 만들 필요 없이 강된장으로 구매 자주 시켜 먹어요 쌈밥용으로 딱 양배추 쌈에 먹었는데 두부 넣고 쌀뜨물 조금 더 넣고 끓였는데 맛있었어요 소고기 구워 먹을 때 곁들이면 맛있어요 완전 자취생 필수 요리 아이템 이 것만 있으면 2일 버틸 수 있어요 쌈밥에 곁들여 먹으려고 구매했어요 고기 양념으로 먹기도 좋네요 물 더 부어서 찌개로 먹어도 맛있어요 활용도가 좋아요 아이가 강된장 좋아해서 종종 구매하는데,"계란 프라이 후 참기름을 넣어 비벼 먹으면 간편하고 맛있는 한 끼가 됩니다. 강된장과 함께 나물이나 호박잎에 쌈 싸서 먹으면 더욱 풍성한 식사가 가능합니다. 물을 많이 붓고 두부를 추가해 끓이면 부드럽고 짠맛이 잡혀서 밥과 잘 어울립니다. 아이들이 좋아하는 맛으로, 쌈밥이나 고기 양념으로 활용하기 좋습니다. 자취생들에게는 간편하게 여러 끼를 해결할 수 있는 필수 아이템입니다."
5029746,착한들 한우 진한사골곰탕,만두국 해 먹기 좋아요 국물 요 추천 만두국해서 든든하게 먹었어요 만두국 해 먹는 데 썼어요 떡국 베이스로 사용하니 좋아요 아침으로 떡국 먹을 때 빠르게 끓일 수 있어서 편해요 아이 사골 국 간단히 주기 좋음 밥을 말아서 먹으면 맛있습니다 밥 말아서 먹으면 맛있습니다 떡국할 때 만두국할 때 간편해요 아기도 잘 먹어요,"만두국이나 떡국을 끓여 먹기 좋습니다. 아침에 빠르게 끓일 수 있어 편리하며, 아이에게 사골 국으로 주기에도 간단합니다. 밥을 말아서 함께 먹으면 더욱 맛있습니다. 아기도 잘 먹는 맛입니다."
